 300.000 773.653 774.359 775.136 775.399 775.907 776.670 777.427
 320.000 757.370 758.157 759.024 759.316 759.881 760.730 761.570
 340.000 740.989 741.870 742.838 743.165 743.795 744.740 745.675
 360.000 724.458 725.448 726.533 726.899 727.604 728.660 729.703
 380.000 707.743 708.859 710.080 710.491 711.283 712.467 713.633
 400.000 690.669 691.934 693.316 693.780 694.673 696.006 697.316
 420.000 673.526 674.970 676.543 677.069 678.082 679.589 681.067
 440.000 186.922 657.531 659.334 659.937 661.092 662.808 664.485
 460.000   7.139 639.432 641.521 642.217 643.549 645.518 647.434
 480.000   3.782 620.517 622.970 623.783 625.335 627.619 629.828
 500.000   3.606 600.580 603.509 604.474 606.307 608.989 611.565
 520.000   3.449 579.418 582.989 584.156 586.360 589.558 592.601
 540.000   3.307 556.956 561.429 562.874 565.581 569.463 573.112
 560.000   3.177 532.121 537.954 539.804 543.229 548.058 552.521
 580.000   3.059  66.703 511.685 514.170 518.687 524.893 530.489
 600.000   2.949  37.690 481.519 485.112 491.426 499.742 506.964
 620.000   2.848  34.910 443.793 449.819 459.630 471.529 481.229
 640.000   2.754  32.725 100.919 399.703 419.510 438.692 452.504
 660.000   2.666  30.921  82.130 117.231 356.066 398.058 419.622
 680.000   2.584  29.392  72.850  95.152 183.829 341.815 380.764
 700.000   2.507  28.063  66.624  84.177 131.996 262.085 333.944
 720.000   2.435  26.891  61.949  76.845 112.825 196.670 281.720
 740.000   2.367  25.844  58.215  71.362 101.244 161.829 234.845
 760.000   2.302  24.898  55.115  66.998  93.030 141.663 200.279
 780.000   2.242  24.037  52.470  63.386  86.711 128.126 176.390
 800.000   2.184  23.247  50.167  60.311  81.602 118.133 159.368
 820.000   2.129  22.519  48.133  57.640  77.331 110.297 146.585
 840.000   2.078  21.844  46.313  55.285  73.673 103.899 136.532
 860.000   2.028  21.216  44.669  53.181  70.481  98.519 128.337
 880.000   1.981  20.629  43.172  51.284  67.658  93.896 121.471
 900.000   1.936  20.079  41.800  49.559  65.131  89.856 115.593
