 300.000 0.13240 0.13279 0.13322 0.13336 0.13365 0.13407 0.13450
 320.000 0.12940 0.12983 0.13029 0.13045 0.13076 0.13122 0.13167
 340.000 0.12618 0.12664 0.12714 0.12731 0.12765 0.12814 0.12864
 360.000 0.12273 0.12323 0.12378 0.12396 0.12432 0.12485 0.12539
 380.000 0.11907 0.11961 0.12020 0.12040 0.12079 0.12137 0.12194
 400.000 0.11520 0.11579 0.11643 0.11665 0.11706 0.11769 0.11831
 420.000 0.11114 0.11178 0.11247 0.11271 0.11316 0.11384 0.11450
 440.000 0.10646 0.10706 0.10781 0.10806 0.10855 0.10927 0.10999
 460.000 0.10327 0.10199 0.10281 0.10308 0.10360 0.10438 0.10514
 480.000 0.02396 0.09714 0.09802 0.09832 0.09888 0.09972 0.10054
 500.000 0.02590 0.09241 0.09338 0.09370 0.09431 0.09522 0.09610
 520.000 0.02788 0.08780 0.08887 0.08922 0.08989 0.09088 0.09183
 540.000 0.02990 0.08332 0.08452 0.08492 0.08566 0.08675 0.08779
 560.000 0.03196 0.07888 0.08026 0.08071 0.08155 0.08276 0.08390
 580.000 0.03404 0.07524 0.07601 0.07654 0.07750 0.07887 0.08014
 600.000 0.03615 0.03754 0.07174 0.07238 0.07353 0.07511 0.07654
 620.000 0.03828 0.03956 0.06714 0.06800 0.06946 0.07134 0.07297
 640.000 0.04042 0.04161 0.04424 0.06243 0.06462 0.06697 0.06883
 660.000 0.04257 0.04370 0.04567 0.04700 0.05884 0.06240 0.06457
 680.000 0.04473 0.04579 0.04747 0.04832 0.05175 0.05999 0.06306
 700.000 0.04689 0.04790 0.04939 0.05006 0.05187 0.05741 0.06163
 720.000 0.04905 0.05002 0.05138 0.05194 0.05330 0.05659 0.06060
 740.000 0.05122 0.05215 0.05339 0.05389 0.05502 0.05733 0.06041
 760.000 0.05338 0.05427 0.05543 0.05588 0.05686 0.05870 0.06104
 780.000 0.05553 0.05639 0.05749 0.05790 0.05878 0.06033 0.06221
 800.000 0.05768 0.05851 0.05954 0.05993 0.06073 0.06210 0.06367
 820.000 0.05982 0.06062 0.06161 0.06197 0.06270 0.06394 0.06531
 840.000 0.06195 0.06273 0.06367 0.06400 0.06469 0.06582 0.06705
 860.000 0.06407 0.06482 0.06572 0.06604 0.06669 0.06774 0.06885
 880.000 0.06618 0.06691 0.06778 0.06808 0.06870 0.06967 0.07070
 900.000 0.06829 0.06899 0.06982 0.07012 0.07070 0.07162 0.07257
