 300.000 1962.19 1961.14 1959.99 1959.61 1958.88 1957.78 1956.71
 320.000 2046.78 2045.54 2044.20 2043.75 2042.90 2041.62 2040.38
 340.000 2130.95 2129.49 2127.92 2127.39 2126.38 2124.90 2123.45
 360.000 2214.62 2212.89 2211.03 2210.41 2209.23 2207.48 2205.79
 380.000 2295.61 2293.56 2291.35 2290.63 2289.24 2287.19 2285.22
 400.000 2375.28 2372.82 2370.20 2369.33 2367.69 2365.28 2362.98
 420.000 2458.91 2455.87 2452.65 2451.59 2449.59 2446.67 2443.89
 440.000 2538.13 2539.73 2535.70 2534.39 2531.91 2528.32 2524.93
 460.000 2422.57 2624.31 2619.18 2617.52 2614.40 2609.92 2605.73
 480.000 2316.28 2710.53 2703.85 2701.70 2697.70 2692.01 2686.74
 500.000 2383.40 2799.79 2790.82 2787.98 2782.72 2775.36 2768.62
 520.000 2449.93 2893.31 2880.86 2876.98 2869.88 2860.12 2851.36
 540.000 2515.44 2988.44 2970.59 2965.16 2955.40 2942.29 2930.81
 560.000 2579.69 3094.53 3067.09 3059.08 3045.02 3026.76 3011.32
 580.000 2642.53 3023.45 3178.46 3165.56 3143.78 3116.96 3095.38
 600.000 2703.85 2896.45 3322.63 3298.58 3260.84 3218.30 3186.64
 620.000 2763.58 2907.45 3553.38 3492.49 3411.76 3335.65 3286.08
 640.000 2821.65 2934.34 3965.12 3959.29 3656.19 3484.00 3398.28
 660.000 2878.02 2969.08 3347.53 4063.96 4441.45 3705.31 3532.18
 680.000 2932.68 3007.99 3233.68 3437.77 5462.06 4118.67 3701.15
 700.000 2985.63 3049.04 3204.91 3310.53 3760.14 4503.35 3897.27
 720.000 3036.87 3091.05 3207.16 3273.99 3488.13 4109.15 4007.19
 740.000 3086.42 3133.28 3223.99 3270.91 3401.38 3741.10 3938.58
 760.000 3134.30 3175.26 3248.52 3283.65 3373.33 3578.85 3788.35
 780.000 3180.54 3216.68 3277.34 3304.82 3371.08 3509.49 3669.18
 800.000 3225.18 3257.34 3308.55 3330.75 3382.12 3482.54 3600.05
 820.000 3268.28 3297.09 3341.02 3359.40 3400.65 3477.39 3565.91
 840.000 3309.88 3335.87 3374.06 3389.58 3423.59 3484.51 3553.33
 860.000 3350.05 3373.65 3407.22 3420.54 3449.17 3498.94 3554.03
 880.000 3388.88 3410.42 3440.22 3451.81 3476.33 3517.93 3563.13
 900.000 3426.47 3446.22 3472.91 3483.11 3504.40 3539.82 3577.68
